Date,Close,Month Number,Weekly Mentions,Volume,PB,PS,MOA
9/5/2018,61.35,9,0,7545589.0,30.732,11.864,-1.85
9/4/2018,63.2,9,0,8341540.0,31.658,12.220999999999998,1.855
8/31/2018,59.49,8,28,4753809.0,29.8,11.504000000000001,-1.19
8/30/2018,60.68,8,28,6768059.0,30.396,11.734000000000002,0.76
8/29/2018,59.92,8,28,16081212.0,30.015,11.587,-3.07
8/28/2018,62.99,8,28,6333641.0,31.553,12.181,-1.11
8/27/2018,64.1,8,28,9602865.0,32.109,12.395999999999999,0.84
8/24/2018,63.26,8,0,9610001.0,31.689,12.232999999999999,3.17
8/23/2018,60.09,8,0,10870940.0,30.101,11.62,0.4
8/22/2018,59.69,8,0,9049827.0,29.9,11.543,0.94
8/21/2018,58.75,8,0,11242273.0,29.429000000000002,11.360999999999999,1.72
8/20/2018,57.03,8,0,7103735.0,28.568,11.027999999999999,0.96
8/17/2018,56.07,8,0,5317273.0,28.087,10.843,-0.98
8/16/2018,57.05,8,0,10184490.0,28.578000000000003,11.032,2.54
8/15/2018,54.51,8,0,7859559.0,27.305,10.540999999999999,-1.28
8/14/2018,55.79,8,0,11713240.0,27.947,10.789000000000001,0.41
8/13/2018,55.38,8,0,15178059.0,27.741,10.709000000000001,-2.67
8/10/2018,58.05,8,54,22385630.0,29.079,11.225999999999999,0.73
8/9/2018,57.32,8,54,39487432.0,28.713,11.084000000000001,10.07
8/8/2018,47.25,8,54,13054991.0,23.669,9.137,-0.17
8/7/2018,47.42,8,54,3941825.0,23.754,9.17,-0.43
8/6/2018,47.85,8,54,4330653.0,23.969,9.253,1.38
8/3/2018,46.47,8,0,2989237.0,23.278000000000002,8.986,0.01
8/2/2018,46.46,8,0,2399655.0,23.273000000000003,8.984,0.81
8/1/2018,45.65,8,0,2441139.0,22.866999999999997,8.828,0.23
7/31/2018,45.42,7,0,4753173.0,22.752,8.783,1.11
7/30/2018,44.31,7,0,6466041.0,22.195999999999998,8.568999999999999,-3.23
7/27/2018,47.54,7,0,3229792.0,23.814,9.193,-1.1
7/26/2018,48.64,7,0,3075448.0,24.365,9.406,-0.07
7/25/2018,48.71,7,0,5351565.0,24.4,9.419,1.8
7/24/2018,46.91,7,0,11126882.0,23.498,9.071,-2.83
7/23/2018,49.74,7,0,7900448.0,24.916,9.619,-0.03
7/20/2018,49.77,7,42,4561611.0,24.930999999999997,9.624,-0.02
7/19/2018,49.79,7,42,4174765.0,24.941,9.628,0.29
7/18/2018,49.5,7,42,7600440.0,24.796,9.572000000000001,-1.89
7/17/2018,51.39,7,42,9910670.0,25.743000000000002,9.937999999999999,3.13
7/16/2018,48.26,7,42,5685442.0,24.175,9.332,-0.5
7/13/2018,48.76,7,0,7995544.0,24.425,9.429,0.45
7/12/2018,48.31,7,0,6107598.0,24.2,9.342,2.4
7/11/2018,45.91,7,0,3825326.0,22.997,8.878,-0.08
7/10/2018,45.99,7,0,4687633.0,23.038,8.892999999999999,-0.34
7/9/2018,46.33,7,0,6654344.0,23.208000000000002,8.959,-0.37
7/6/2018,46.7,7,0,6260217.0,23.393,9.031,1.29
7/5/2018,45.41,7,0,7551759.0,22.747,8.781,-0.065
7/3/2018,45.54,7,0,12093347.0,22.811999999999998,8.806000000000001,2.25
7/2/2018,43.29,7,0,3869249.0,21.685,8.371,0.67
6/29/2018,42.62,6,0,3748474.0,22.378,8.242,1.0
6/28/2018,41.62,6,0,6351860.0,21.853,8.048,0.2
6/27/2018,41.42,6,0,7715205.0,21.748,8.01,-2.57
6/26/2018,43.99,6,0,5184763.0,23.096999999999998,8.507,1.98
6/25/2018,42.01,6,0,7337617.0,22.058000000000003,8.124,-2.7
6/22/2018,44.71,6,0,10590919.0,23.475,8.646,-0.66
6/21/2018,45.37,6,0,9306088.0,23.822,8.774,-1.38
6/20/2018,46.75,6,0,8876479.0,24.546999999999997,9.04,1.48
6/19/2018,45.27,6,0,8568991.0,23.77,8.754,0.34
6/18/2018,44.93,6,0,9400398.0,23.590999999999998,8.687999999999999,1.63
6/15/2018,43.3,6,39,10678610.0,22.735,8.373,-1.72
6/14/2018,45.02,6,39,17120432.0,23.638,8.706,1.59
6/13/2018,43.43,6,39,15160750.0,22.803,8.398,1.97
6/12/2018,41.46,6,39,7289539.0,21.769000000000002,8.017000000000001,0.0
