Date,Open,Close,Month Number,Weekly Mentions,Volume,PB,PS,MOA,price change,ShiftedPB,ShiftedPS
8/12/2019,129.86,134.3,20,25,19614336.0,33.885,19.855,8.98,0.02940693280762279,33.885,19.855
8/9/2019,121.74,125.32,20,40,14591452.0,31.619,18.527,3.29,0.028053917438921636,31.619,18.527
8/8/2019,118.7,122.03,20,40,27655456.0,30.789,18.041,21.06,0.02299898682877402,30.789,18.041
8/7/2019,98.7,100.97,20,40,13649070.0,25.476,14.927,2.49,-0.046013755691175044,25.476,14.927
8/6/2019,103.23,98.48,20,40,11136249.0,24.846999999999998,14.559000000000001,-4.09,0.0480228875038315,24.846999999999998,14.559000000000001
8/5/2019,97.87,102.57,20,40,7328656.0,25.879,15.164000000000001,2.04,-0.003074176913923069,25.879,15.164000000000001
8/2/2019,100.84,100.53,20,29,4444485.0,25.365,14.862,-0.32,-0.02710785259502221,25.365,14.862
8/1/2019,103.66,100.85,20,29,5478407.0,25.445,14.909,-2.48,-0.02297655068078675,25.445,14.909
7/31/2019,105.76,103.33,19,29,5292158.0,26.070999999999998,15.276,-2.43,0.01692307692307697,26.070999999999998,15.276
7/30/2019,104.0,105.76,19,29,4762618.0,26.684,15.635,0.63,-0.049027589326096806,26.684,15.635
7/29/2019,110.55,105.13,19,29,10855535.0,26.525,15.542,-5.32,0.0285900540137829,26.525,15.542
7/26/2019,107.38,110.45,19,0,6865401.0,27.866999999999997,16.329,3.56,-0.007705161529892298,27.866999999999997,16.329
7/25/2019,107.72,106.89,19,0,5276766.0,26.969,15.802,-0.77,0.028467711119602498,26.969,15.802
7/24/2019,104.68,107.66,19,0,6138626.0,27.164,15.915999999999999,2.74,-0.03645881164477913,27.164,15.915999999999999
7/23/2019,108.89,104.92,19,0,9726893.0,26.471999999999998,15.511,-3.68,0.0137216465975917,26.471999999999998,15.511
7/22/2019,107.13,108.6,19,0,5704450.0,27.401,16.055,1.75,-0.02509124087591241,27.401,16.055
7/19/2019,109.6,106.85,19,0,6736162.0,26.959,15.796,-2.17,0.017927170868347355,26.959,15.796
7/18/2019,107.1,109.02,19,0,9302051.0,27.506999999999998,16.117,-0.32,-0.023837157396661028,27.506999999999998,16.117
7/17/2019,112.01,109.34,19,0,11183913.0,27.587,16.165,-2.6,0.07273598466698614,27.587,16.165
7/16/2019,104.35,111.94,19,0,21356596.0,28.243000000000002,16.549,7.6,0.017951219512195155,28.243000000000002,16.549
7/15/2019,102.5,104.34,19,0,6340012.0,26.326,15.425,1.87,-0.016791402801765495,26.326,15.425
7/12/2019,104.22,102.47,19,25,7524214.0,25.854,15.149000000000001,-2.07,0.00615976900866218,25.854,15.149000000000001
7/11/2019,103.9,104.54,19,25,9091835.0,26.375999999999998,15.455,1.04,-0.007479861910241668,26.375999999999998,15.455
7/10/2019,104.28,103.5,19,25,8519337.0,26.114,15.300999999999998,0.1,0.007110158761079224,26.114,15.300999999999998
7/9/2019,102.67,103.4,19,25,10727311.0,26.089000000000002,15.286,0.15,0.056374053611622725,26.089000000000002,15.286
7/8/2019,97.74,103.25,19,25,12268306.0,26.051,15.264000000000001,5.14,0.053021358806482746,26.051,15.264000000000001
7/5/2019,93.17,98.11,19,58,12061717.0,24.754,14.504000000000001,2.3,-0.0007480230818550244,24.754,14.504000000000001
7/3/2019,93.58,93.51,19,58,7313660.0,23.593000000000004,13.824000000000002,0.46,0.04609331084879139,23.593000000000004,13.824000000000002
7/2/2019,88.95,93.05,19,58,12853428.0,23.476999999999997,13.755999999999998,1.68,-0.01061180292365988,23.476999999999997,13.755999999999998
7/1/2019,92.35,91.37,19,58,5944814.0,23.053,13.508,0.79,-0.03453421445320822,23.053,13.508
6/28/2019,93.82,90.58,18,0,11980704.0,28.464000000000002,13.390999999999998,-2.65,0.005391998274560552,28.464000000000002,13.390999999999998
6/27/2019,92.73,93.23,18,0,5476288.0,29.296,13.783,0.93,0.0003251327625447181,29.296,13.783
6/26/2019,92.27,92.3,18,0,8598768.0,29.004,13.645,-0.95,-0.06366101014158052,29.004,13.645
6/25/2019,99.59,93.25,18,0,12280083.0,29.303,13.786,-6.78,-0.028740654432469113,29.303,13.786
6/24/2019,102.99,100.03,18,0,7786770.0,31.433000000000003,14.788,-2.54,-0.017528735632184027,31.433000000000003,14.788
6/21/2019,104.4,102.57,18,26,4391220.0,32.231,15.164000000000001,-2.33,-0.025092936802973875,32.231,15.164000000000001
6/20/2019,107.6,104.9,18,26,6138877.0,32.963,15.508,-1.59,0.02325357932161047,32.963,15.508
6/19/2019,104.07,106.49,18,26,5662986.0,33.463,15.743,2.1,-0.003436754176610973,33.463,15.743
6/18/2019,104.75,104.39,18,26,6591737.0,32.803000000000004,15.433,0.55,0.02255046774987697,32.803000000000004,15.433
6/17/2019,101.55,103.84,18,26,5528267.0,32.63,15.350999999999999,1.82,-0.022141282469088492,32.63,15.350999999999999
6/14/2019,104.33,102.02,18,56,7326946.0,32.058,15.082,-2.95,0.0011444921316166386,32.058,15.082
6/13/2019,104.85,104.97,18,56,7629196.0,32.985,15.517999999999999,0.11,0.051649784374686654,32.985,15.517999999999999
6/12/2019,99.71,104.86,18,56,12278571.0,32.951,15.502,4.66,-0.006248140434394481,32.951,15.502
6/11/2019,100.83,100.2,18,56,10283040.0,31.486,14.812999999999999,-0.41,-0.017288532916585234,31.486,14.812999999999999
6/10/2019,102.38,100.61,18,56,10366269.0,31.615,14.874,-1.26,0.01101627630011909,31.615,14.874
6/7/2019,100.76,101.87,18,26,10603900.0,32.010999999999996,15.06,1.62,-0.009093604823564314,32.010999999999996,15.06
6/6/2019,101.17,100.25,18,26,12868204.0,31.502,14.821,-1.46,0.04532374100719421,31.502,14.821
6/5/2019,97.3,101.71,18,26,23470796.0,31.961,15.037,8.11,0.028571428571428508,31.961,15.037
6/4/2019,91.0,93.6,18,26,7782680.0,29.413,13.838,3.89,-0.011677867136719205,29.413,13.838
6/3/2019,90.77,89.71,18,26,10553038.0,28.19,13.262,-0.69,-0.017391304347826025,28.19,13.262
5/31/2019,92.0,90.4,17,27,10050218.0,28.406999999999996,13.364,-2.94,0.010939023069424944,28.406999999999996,13.364
5/30/2019,92.33,93.34,17,27,11605416.0,29.331,13.799000000000001,1.54,0.013468756899977908,29.331,13.799000000000001
5/29/2019,90.58,91.8,17,27,17458432.0,28.846999999999998,13.571,2.97,-0.05650557620817851,28.846999999999998,13.571
5/28/2019,94.15,88.83,17,27,21523688.0,27.914,13.132,-3.475,0.0583425414364641,27.914,13.132
5/24/2019,90.5,95.78,17,28,19017154.0,30.098000000000003,14.16,5.8,0.024945893609750514,30.098000000000003,14.16
5/23/2019,87.79,89.98,17,28,11658806.0,28.275,13.302,1.96,0.0026198883699736844,28.275,13.302
5/22/2019,87.79,88.02,17,28,10019420.0,27.659000000000002,13.013,0.39,0.04358699535548406,27.659000000000002,13.013
5/21/2019,83.97,87.63,17,28,10989382.0,27.537,12.955,4.3,-0.005727240186135353,27.537,12.955
5/20/2019,83.81,83.33,17,28,11115105.0,26.185,12.319,-0.7,0.01854545454545456,26.185,12.319
5/17/2019,82.5,84.03,17,28,16140973.0,26.405,12.423,0.75,0.008354522339266228,26.405,12.423
5/16/2019,82.59,83.28,17,28,11844146.0,26.17,12.312000000000001,-0.06,0.008348457350272204,26.17,12.312000000000001
5/15/2019,82.65,83.34,17,28,10503090.0,26.188000000000002,12.321,0.51,0.026903049838829678,26.188000000000002,12.321
5/14/2019,80.66,82.83,17,28,10519174.0,26.028000000000002,12.245,3.38,-0.016220901436354657,26.028000000000002,12.245
5/13/2019,80.76,79.45,17,28,22878292.0,24.965999999999998,11.745999999999999,-3.3,0.009146341463414634,24.965999999999998,11.745999999999999
5/10/2019,82.0,82.75,17,51,25933356.0,26.003,12.234000000000002,-0.42,0.18814285714285717,26.003,12.234000000000002
5/9/2019,70.0,83.17,17,51,56746608.0,26.135,12.296,18.25,0.014375000000000027,26.135,12.296
5/8/2019,64.0,64.92,17,51,12383232.0,20.4,9.597999999999999,0.51,-0.0370757960831216,20.4,9.597999999999999
5/7/2019,66.89,64.41,17,51,13991867.0,20.24,9.522,-1.34,0.04282315622521813,20.24,9.522
5/6/2019,63.05,65.75,17,51,8644004.0,20.660999999999998,9.72,0.73,0.0033950617283950444,20.660999999999998,9.72
5/3/2019,64.8,65.02,17,24,4597707.0,20.432000000000002,9.612,0.63,0.013696473551637238,20.432000000000002,9.612
5/2/2019,63.52,64.39,17,24,6196279.0,20.234,9.519,0.7,-0.011024844720497017,20.234,9.519
5/1/2019,64.4,63.69,17,24,6873269.0,20.014,9.416,0.1,0.011935073201782304,20.014,9.416
4/30/2019,62.84,63.59,16,24,8045414.0,19.982,9.401,0.31,-0.00659340659340662,19.982,9.401
4/29/2019,63.7,63.28,16,24,10486726.0,19.885,9.355,-0.16,0.03795811518324608,19.885,9.355
4/26/2019,61.12,63.44,16,0,11456134.0,19.935,9.379,2.4,0.00032776138970822715,19.935,9.379
4/25/2019,61.02,61.04,16,0,7675944.0,19.180999999999997,9.024,0.07,-0.005707762557077649,19.180999999999997,9.024
4/24/2019,61.32,60.97,16,0,9040188.0,19.159000000000002,9.014,-0.56,0.02550000000000002,19.159000000000002,9.014
4/23/2019,60.0,61.53,16,0,16577308.0,19.335,9.096,3.33,0.03761811374576572,19.335,9.096
4/22/2019,56.09,58.2,16,0,8157645.0,18.289,8.604,0.76,0.015042979942693343,18.289,8.604
4/18/2019,55.84,56.68,16,25,9480683.0,17.811,8.379,0.08,-0.03247863247863245,17.811,8.379
4/17/2019,58.5,56.6,16,25,10828190.0,17.785999999999998,8.368,-1.44,-0.00137646249139708,17.785999999999998,8.368
4/16/2019,58.12,58.04,16,25,13594898.0,18.238,8.58,1.45,0.0069395017793594405,18.238,8.58
4/15/2019,56.2,56.59,16,25,8860765.0,17.783,8.366,0.09,-0.05911740216486257,17.783,8.366
4/12/2019,60.05,56.5,16,24,13706210.0,17.754,8.353,-2.15,0.0022214627477784594,17.754,8.353
4/11/2019,58.52,58.65,16,24,9230395.0,18.43,8.671,0.08,-0.014304947829013823,18.43,8.671
4/10/2019,59.42,58.57,16,24,11912408.0,18.405,8.658999999999999,-0.75,-0.011003667889296376,18.405,8.658999999999999
4/9/2019,59.98,59.32,16,24,13873255.0,18.641,8.77,-1.41,0.00796680497925306,18.641,8.77
4/8/2019,60.25,60.73,16,24,24549432.0,19.084,8.978,-2.67,-0.021604938271604916,19.084,8.978
4/5/2019,64.8,63.4,16,26,10716989.0,19.923,9.373,-1.09,-0.03631201434548725,19.923,9.373
4/4/2019,66.92,64.49,16,26,25099142.0,20.265,9.533999999999999,-4.11,-0.03189387524696592,20.265,9.533999999999999
4/3/2019,70.86,68.6,16,26,12867334.0,21.557,10.142000000000001,-2.04,0.030037911927675742,21.557,10.142000000000001
4/2/2019,68.58,70.64,16,26,10053317.0,22.198,10.443,1.53,0.043957703927492396,22.198,10.443
4/1/2019,66.2,69.11,16,26,14424863.0,21.717,10.217,4.6,-0.00753846153846146,21.717,10.217
3/29/2019,65.0,64.51,15,0,6211799.0,28.944000000000003,9.537,0.12,0.026789985648221968,28.944000000000003,9.537
3/28/2019,62.71,64.39,15,0,8253736.0,28.891,9.519,2.21,-0.027069316225942684,28.891,9.519
3/27/2019,63.91,62.18,15,0,9859517.0,27.899,9.193,-2.13,-0.055653450807635715,27.899,9.193
3/26/2019,68.1,64.31,15,0,14257182.0,28.855,9.507,-2.59,0.048589341692790104,28.855,9.507
3/25/2019,63.8,66.9,15,0,20747682.0,30.017,9.89,2.99,-0.0372100030129557,30.017,9.89
3/22/2019,66.38,63.91,15,25,8347949.0,28.675,9.448,-3.03,0.030797659377887282,28.675,9.448
3/21/2019,64.94,66.94,15,25,7901835.0,30.035,9.896,1.97,0.009321112319403359,30.035,9.896
3/20/2019,64.37,64.97,15,25,6443870.0,29.151,9.605,0.05,0.01707660974463424,29.151,9.605
3/19/2019,63.83,64.92,15,25,10828930.0,29.128,9.597999999999999,1.31,0.006168933881683021,29.128,9.597999999999999
3/18/2019,63.22,63.61,15,25,10971839.0,28.541,9.404,0.82,0.010297666934835087,28.541,9.404
3/15/2019,62.15,62.79,15,51,12736600.0,28.173000000000002,9.283,0.97,0.0012957563977971864,28.173000000000002,9.283
3/14/2019,61.74,61.82,15,51,23780692.0,27.737,9.139,1.08,-0.10121337673868003,27.737,9.139
3/13/2019,67.58,60.74,15,51,38849884.0,27.253,8.98,-9.98,-0.030701754385964845,27.253,8.98
3/12/2019,72.96,70.72,15,51,11693661.0,31.730999999999998,10.455,-3.4,0.04335585585585583,31.730999999999998,10.455
3/11/2019,71.04,74.12,15,51,9832045.0,33.256,10.958,2.85,0.05257716733126573,33.256,10.958
3/8/2019,67.71,71.27,15,24,11553264.0,31.976999999999997,10.536,0.46,-0.009650349650349619,31.976999999999997,10.536
3/7/2019,71.5,70.81,15,24,9990236.0,31.771,10.468,-1.08,0.04811196967487968,31.771,10.468
3/6/2019,68.59,71.89,15,24,15339468.0,32.256,10.628,3.06,0.026394273784670384,32.256,10.628
3/5/2019,67.06,68.83,15,24,9322867.0,30.883000000000003,10.176,1.78,-0.0334438518091395,30.883000000000003,10.176
3/4/2019,69.37,67.05,15,24,15844877.0,30.084,9.912,-2.03,0.028282226853229998,30.084,9.912
3/1/2019,67.18,69.08,15,0,10741712.0,30.995,10.213,2.79,-0.0239988221436984,30.995,10.213
2/28/2019,67.92,66.29,14,0,8149100.0,29.743000000000002,9.8,-1.08,0.03646153846153853,29.743000000000002,9.8
2/27/2019,65.0,67.37,14,0,9676513.0,30.228,9.96,2.29,0.022466614296936367,30.228,9.96
2/26/2019,63.65,65.08,14,0,12994362.0,29.2,9.621,0.21,0.0006169983032547626,29.2,9.621
2/25/2019,64.83,64.87,14,0,22283392.0,29.105999999999998,9.59,0.4,0.17026683608640397,29.105999999999998,9.59
2/22/2019,55.09,64.47,14,47,48341724.0,28.926,9.531,12.99,-0.043122676579925655,28.926,9.531
2/21/2019,53.8,51.48,14,47,16876332.0,23.098000000000003,7.611000000000001,-2.16,-0.011972738994289899,23.098000000000003,7.611000000000001
2/20/2019,54.29,53.64,14,47,10739940.0,24.066999999999997,7.93,0.42,0.010442377064742683,24.066999999999997,7.93
2/19/2019,52.67,53.22,14,47,14485571.0,23.879,7.867999999999999,0.57,0.006960556844547553,23.879,7.867999999999999
2/15/2019,51.72,52.08,14,0,7162276.0,23.366999999999997,7.699,1.11,0.029905031319458413,23.366999999999997,7.699
2/14/2019,49.49,50.97,14,0,10047617.0,22.869,7.535,0.77,0.018255578093306406,22.869,7.535
2/13/2019,49.3,50.2,14,0,7000440.0,22.524,7.421,0.99,0.039281942977824696,22.524,7.421
2/12/2019,47.35,49.21,14,0,9823164.0,22.08,7.275,2.23,-0.026724673710379246,22.08,7.275
2/11/2019,48.27,46.98,14,0,13510969.0,21.079,6.945,-1.29,0.04367567567567574,21.079,6.945
2/8/2019,46.25,48.27,14,37,6471210.0,21.658,7.136,1.41,-0.016785564414603382,21.658,7.136
2/7/2019,47.66,46.86,14,37,10505793.0,21.025,6.928,-1.52,0.007287112221528241,21.025,6.928
2/6/2019,48.03,48.38,14,37,6243397.0,21.706999999999997,7.152,0.22,-0.007010309278350586,21.706999999999997,7.152
2/5/2019,48.5,48.16,14,37,11813100.0,21.608,7.12,0.73,0.048408488063660424,21.608,7.12
2/4/2019,45.24,47.43,14,37,28406992.0,21.281,7.0120000000000005,2.22,0.004220346512660989,21.281,7.0120000000000005
2/1/2019,45.02,45.21,14,27,5668616.0,20.285,6.684,0.26,0.026255707762557208,20.285,6.684
1/31/2019,43.8,44.95,13,27,8078315.0,20.168,6.645,0.82,0.01424959779361077,20.168,6.645
1/30/2019,43.51,44.13,13,27,7986271.0,19.8,6.524,1.28,-0.017652453003209445,19.8,6.524
1/29/2019,43.62,42.85,13,27,15778817.0,19.226,6.335,-1.01,0.037860861334595396,19.226,6.335
